Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
Ningudingidac ugimi'kawan kistci-a'mikwa^ tanit mrcrwii gi'tcikaming, a'pidci mamanditowan. Mldac anat wiwan : "Ninganodci'a-g igi/u ami'kwag." Nljinon Ini/u ami'kwag andawat, mi'i'we pajik Miming minawadec Micibigwadominising. Mi'i'we kaya ami'kwag ka'tawagubanan. Uglpigwa*a!nan Ini/u ami'kuwlcan. Mri'dac klbabamajagamat uwa gistcigami ; anint uglnisan ami'konsa8, pajik kaya ki'tci ami'kwan ; pajikidac kistci ami'kwan kawm umi'kawasln. ||| food, and of turkeys, and of every kind of game there is, and of ruffed grouse."
Kaga'prrdac kri'nandam: "Intawa ningaplgwa'a/n Ii8i/u u'kunim, manodac ta'i'ska'ta o'o* kistcigami, mri''u tcimilkawag 'aV11 ami'k." ||| And so there were invited to the feast many men, women too. And after the feast was over, they then played games, they came to play ball. The women too played a different game, they played the double-ball game. For it was said: "This is Nanabushu's wedding, and that is why to-day we play. Thus shall it ever be when any one is married," (so) they said.1
Mldac ka*i*jiwijamat o'kumisan iwiti u'kuniming. A'pl'i'dac ka'pigwa'a'nk 'ifii/u u^unim, "Mloman ayan, kanawandan tcipimabonusik 'a^11 ami'k," udinan. A ! mldac klslgidciwank i'i-u nibi. Minawadac Nanabuco klmadciyacagama owa kistcigami. Mldac ima Micibigwadominising klajawikwaskunit ; magwadac ima nlbawit owabaman nigigwan aniniska'tanik. Mldac ka'i'jiminawa'a'jawigwaskunit, mldac ima ugrirjacicing ajajklkang. Mldac kapasigwit, uglpa'pi'ton i'i'ma11 kra/na'kwitiyacing . uwlngagu ajinagusit ijinagwatini. "Manu, nocicanyag pitclnag kadanipimadisiwat ugaba'pi'tonawa." ||| Thus too have the people done whenever any one has married.
Mldac a'kitut 'afia/u ma'ka'klmindimoya : "Aja a'pami, klpimabonu a11 ami'k." ||| 55. THE ORIGIN OF LIKENESSES OK NANAP.USIIU.
A^I'tci niskadisit dac lasa/u Nanabucu mri/iU ka/ijimwana'wat o'kumisan. Miziwadac klmiskwiwabi'ka iu wadci11. "Oma'ka'klwabi'kunk ta'i'cini'kata," krr'kitu Nanabucu. ||| And so there for a long while continued Nanabushu. Now, once on a time to another place moved Nanabushu and his wife, and by his grandmother were they accom panied. Ever was Nanabushu in quest of game, for beavers too he hunted ; a harpoon Nanabushu made, and that was what he used when he speared the beaver ; spine-of-apickerel-fm is the name of the bone (point) " which he made.
Mldac rrwiti anuglpaba'a/ndawabamat lni/u ami'kwan, kawmdac ugimi'kawasln. Mlnawadac krpiklwii, kayabi ki'pabanandawabandcigat kayabi tcra'yanit ami'kwan ; ka wmdac awiya oglmi'kawasln. Miziwa anugipaba'i'ja ; ima wlcan ka'u'ndclplgu'ank, rniya'ta mi'tigdn piwandamowat ami'kwag kawabandangin. ||| Now, once he found a place over here in the sea where the great beavers dwelt, they were very huge. Thereupon he said to his wife: "I am going after these beavers." Two were the places where those beavers dwelt : one was over here at Isle Royal,3 and the other was at Michipicoten Island.4 Now, those were the places where the beavers dwelt. He destroyed the beaver dwellings. Thereupon he wandered away, following the shore of this sea; some of the small beavers he killed, one large beaver too ; but one other large beaver he did not find. So at last he
Mldacigu ima a'pana namadabit, anicinaba klnamadabit mri/>u ajinagwa'k i'i*u asin. Mldac igu kaga't ajiwaba'k -, kicpin awlya pang! a'paginat asaman, "Nanabuju! kiblnda'konin ningawinamaamin," mlgu kaga't ajinamaanigwa'k. ||| thought: "Therefore I will destroy the (beaver) dam,1 no matter if this sea should go dry, for then I shall find the beaver."
Ningudingisa minawa anipapimosaguban Nanabuju, midac ajiwabamad minawa nilkas ayanit iman saga'i'gamng. Mldac ajikanonat : "Taga, kaya nm ajinagusiyag iji'i'ciyu'k." ||| Thereupon he had his grandmother go with him to yonder (beaver) dam. And when he had demolished the dam, "In this place do you remain, do you watch that the beaver does not float by with the current," he said to her. Ah ! and then out the water flowed. So once more Nanabushu set out, following the shore of this sea. And then across to Michipicoten Island he leaped ; and while he was standing over there, he saw an otter where the water was running low. Accordingly back across he leaped, whereat he slipped and fell in the mud. And so, when he rose to his feet, he laughed at the spot where he had left an imprint of his bottom ; precisely like the form on him was the way it looked. "No matter, let my grandchildren 3 that shall live hereafter have it to laugh at."
Kinwa^j ogltajima8. Kaga'pl, " 'Awisa," udigon. Mri'dac paepacik ka-rjimmigut umlguniwan. A'prrdac tayapisanit mlgwana8, mri''u kaega't ni'king krijinaguzit Nanabuju. Klpazigwa'u- gayawm klpabawidclwad ni'ka8. A4pri*dac anitagwagininik, "Misa cigwa tcimadcayank," udigon. Mri'dac cigwa pazigwa-crwat, cawanunk ani'i'jawad nagamowag : ||| And when he pursued the otter, he pierced it with the fin spine of his harpoon. He was eager to eat, they say. "Accordingly before (proceeding further) I will eat the otter," he thought. And so, when he had flayed it, he built a fire ; thereupon he roasted it on the spit. And when he had finished cooking it, he then sat down. He stuck (the spit into the ground) with (the otter still) on it. And when with a knife he sliced off one of the otter's ears,3 he then heard the sound of his grandmother whistling off yonder at the Sault. Thereupon leaping to his feet, he started off a-running. And when he came running up to yonder Sault, "What (is it)?" he said to his grandmother.
"A'i'natinag kijiga a'i-natciwasayani. A-rnatinag kijiga iri-natciwascayani. A'i'natinag kijiga a'rnatciwasayani." ||| Thereupon said the old Toad- Woman : 4 "It is gone, floating with the current went the beaver."
Mri'dac agut: "Kagu miziwa inabi'kan, kwaya'kigu ajayank inabin. Cigwa pacu/ anicinabek oda'towag kadanri'jayank. Kagux kanaga inabi'kan. Tamadwanandndagusiwag anicinabek. Kagu' kanawabama'kan." ||| nother name for Mother Earth, or the grandmother of Nanabushu.
"E'e1, paejik pangicin ni'ka !" Uglnodci'a'wan, ugipabaminlca'a'wawan wltabibinawat. A'pri'dac wadcanimi-i'nt, indawa kipasigwi. "WrH'H, Nanabujun nangwana ka'i*jinagwi'U'nit !" Mldac klki'tcipa'pi'a'wad Nanabujiin. ||| 56. NANABUSHU FLIP:S WITH THE GEP:SK. /
Ningutingsa klwan aTndawag Nanabuco o'kumisan kaya. Mldac klwan anat ocisan : "Nojis," udinan, "iwa zibi pacu' ka/a'yamaga'k, mfku ima plndcibonaganan uji'a;walpan i'ku kicicanibamg," udinan. ||| 58. Nanabushu obscenely jests with his Grandmother .... 447
Nanabucudac win kawm kago i'kitusi. Miya'tagu a'pana nandawantcigat pabltod kago andawat. A'pidcima kaya Nanabucu klml'kawiinimwi Ina'tisokasu. Ningutingidac, klwaku a'i'ndawat, omi'kwandan ka'i'gu'pan o'kumisan undci tcipintcibonaganikat pawi'tigunk. Mldec Nanabucu anandank : "Icta mltagic ka/rci'pan nokkomis tciplntcibonagani'kayan. Magica no'knmis aiya'kusitug panii wiyas mldcit," inandam Nanabuco. "Klngonyandac kanabatc uwl'a'mwan," inandam. Mldac anat: "Nolkumis, ka'i'ciyambanidac undcipmdcibonagani'kayan ?" ||| Once on a time they say that Nanabushu and his grand mother were abiding there. And so they say that she said to her grandson: "My grandson," she said to him, "over there hard by is a river, and it was there your uncles of old used to set fish-traps," she said to him.
Mldec kaga't Nanabuco madci'tad ujra/t pindcibonaga- ||| Now, Nanabushu, so .far as he was concerned, had nothing to say. His only occupation was always hunting for game (and) bringing something home. And very lucky too was Nanabushu at getting game, to judge from his fame in story. Now, once on a time they say that while they were living, (there), he remembered what his grandmother had said to him about going to catch fish with the fishtrap at the rapids. Thereupon Nanabushu thought: "Quite so, that is what my grandmother had told me, that I should go to catch fish with the fish-trap. Perhaps my grandmother may have grown tired of always eating meat," thought Nanabushu. "Now, fish she probably wants to eat," he thought. Thereupon he said to her: "My grand mother, (you remember) what you told me about catching fish with a fish-trap?"
wanan, wlsongi'tod uplndcibonaganan. Mldac ka'klci'a't ||| "Yes," said the old woman. "It was at yonder rapids where your uncles of old used to fish with a fish-trap," she said to him. "Oh, great indeed was the number of fishes they used to kill," he was told by his grandmother.
wlndamawat o'kumisan, midac anat: "Ml, no'kumis, kl'kl- ||| And then truly did Nanabushu begin making his fishtraps, huge logs he carried on his shoulders, and from afar he carried them on his back, (for) he wanted to make his traps strong. And then after he had finished them he notified his grandmother, and this he said to her :
ci'a'g pmdcibonagan, mldac klngon tcrarmwat," udinan o'kumisan. ||| "There, my grandmother, have I finished the fish-traps, and now some fish will you eat," he (thus) said to his grandmother.
"Aya8," i'kitu mindimoya. ||| "Ay," said the old woman.
Mldac weyabaninig Nanabucu kra'wiwabamat upmdcibonaganan, nlbawa dac k!ngonyan klplndciposowan ; mldac Nanabucu kl'klwawanat. Ani'a'yat dac pacu7 anri-'kitu Na nabucu : "No'kumis! nlbawa kPgoyag mingmisag," i'kito. ||| So then in the morning Nanabushu went to see his fish-traps, and many the fish that were drawn into them ; thereupon Nanabushu went back home, carrying them along. And as he was drawing near, Nanabushu went along, saying: "O my grandmother! many fishes have I killed," he said.
Mldac kaga't mindimoya kistciminwandank. ||| Thereupon truly was the old woman highly pleased.
Acri'nabit Nanabucu, andutank, wlkatcina'u't wagunan ka'i'nwanik ; magwadac andutank sasi'ka unondawan ketcipacu : "Tcike tcike, tcik" kayadac minawa tibicko : ||| And so while they remained there, many fishes Nana bushu slew. And now, once on a time while he was out hunting for fish at his traps, he heard the approaching sound of some creature. The sound it uttered was: "-
tcipinat uginkonya8, madciba'tod ; ka'a'niwawajacacakucingigo Nanabucu. Klwaba'tod i'kitut dac anitagwicing : "No'kumidida, awiya ninnondawa!" ||| for it, for he wanted to be sure of what was making the noise ; and while he listened for it, suddenly he heard it very close : "Tcike, tcike, tcik !" And then again the same : " — — — , - - !" Thereupon Nanabushu quickly
"Anm anwat?" — , - - F ml'a'nwat," udinan. ||| gathered up his fishes, (and) started running ; (and) on the way Nanabushu went slipping on the logs and knocking off the bark. On the way home he ran, and said as he was arriving: "O my grandmother! I hear something."
Mldac a/kitut mindimoya : " Aa, kwlngwlci7 udinawabanm kicicanyabanlg !" udinan. "Wlwlsini, klnandudamag tci'a*camat pa'irndcri'nwat. Klngonyan acam," udinan. ||| "How did it sound?"
Midac kaga't Nanabucu uta'pinat kingonyaL', paginal anlndi ina'kakaya ka'tani'tang. Mldac minawa weyabaninig ||| " l— — , - -!' was the way it sounded," he
Nanabucu nandciplndcibobaganat, ml mlnawa awiya klnondawat nodagusinit. Mldac ka*rcipaginat klngonyan andani'tang, mi'kwandank o'kumisan ka/i'gut pitclnago. Kawlndac mamwatc wl'klwapitosl. Mldac mlnawa aniklwat, anrrnat o'kumisan: "Awiya mlnawa ninglnontawa nondagusit, mi'ta'kamig tanwawitam." ||| said to her.
Mldac agut : "Aa, cangwaci au udinawabanin kicicanyabanig. Kigra'camana ?" ||| And then said the old woman: "Why, a Canada jay is what your uncles of old used to call it!" she said to him. "That it wanted to eat, (and) was begging of you to feed it, was why it cried out in that way. Feed it some fish," she said to him.
"Aye9," i'kitu Nanabucu. ||| Thereupon truly Nanabushu took the fishes, (and) threw part of them towards the place where he had heard the
aninama'ta'ku'ka ; wlnga omockina'ton andawat pindik ; ||| sound. And when on the next day Nanabushu went to look after his fish-trap, he then again heard the sound of some creature. And after flinging the fish towards the place where he heard the sound, he recalled what was told him by his grandmother on the day before. He did not find it necessary to run on his way back home. And so again, when he went back, he went and said to his grandmother: "Something again I heard making a noise, on the ground was where it sounded."
agwawat kaya agwatcing ; tasa'kwa'i'ganan uwlnga ma- ||| Thereupon he was told: "Why, a mink was what your uncles of old used to call it. Did you feed it?"
Ningudingdac klwa11 a'rndawat mlnawa Nanabucu awiya ||| "Yes," said Nanabushu.
Ko'koko^o !" Nanabucu nawatcipinat klngonya8, minawa ||| "That was proper," he was told by his grandmother, "O my grandson!" he was told; "by many creatures, by the little animal folk, shall we be visited, and you shall always give them food to eat," she said to him. "They will ask you to feed them, for they themselves are also anxious for food."
aniwucacakucing. Midac mlnawa ani'i'nat o'kumisan : ||| Thereupon they say that Nanabushu went again to look after his fish-trap. Many indeed were the fishes he slew. And the old woman herself was busy smoking them on the rack ; every nook and corner inside of their home she filled ; and she also hung them up out of doors ; quite full were the drying-racks of all the fishes that he had killed.
"No'kumidide, awiya ninondawa !" ||| And once they say that while they were living (there), again Nanabushu heard something making a noise as it approached, as it came, (and) it made the sound: "Ko'koko'ho, ko'koko'ho!" As Nanabushu fetched more fish, he again went slipping over the logs along his course. And so again he went and said to his grandmother : " O my grandmother ! something I heard."
I'kitu mindimoya: "Anln anwat?" Mldac Nanabucu ajinabuwat: "Ko'koko^o, ko'koko'ho.' ||| Said the old woman : " How did it sound ?"
And then Nanabushu mocked the cry: "Ko'koko'ho, ko'koko'ho !" ||| "Oh!" said the old woman. "An owl was what your uncles of old used to call it. Give it food," she said to him.
"Ou!" i'kito mindamoya. "Ko'koko'ho udinawabamn kicicanyabanlg. Acam," udinan. ||| And then truly Nanabushu took up some fish ; at the same time he was trembling with fear. And so he flung
Mldac kagat Nanabucu aninawatinat klngonya8 ; pa'kic nanlngickat sagisit. Mldac iwiti ajipaginat ka'tani'tank, "Owa, nimicomis !" Mldac minawa nayap ajiklwat. ||| them over in the direction where he had heard the sound. "Here, my grandfather!" Thereupon back home again he went.
Mldac minawa weyabaninig natcipindcibonaganat ; magwa dac minawa mamojiginat klngonyan, awiya onondawan minawa nondagusinit. Midac minawa nandutank Nanabucu, "Mna, mna, mna!" ini'tam. Ml minawa ajinawatcipinat ug!ngon'rma8. Madclba'tod minawa ani'i*nat o'kumisan : "No'kumidide ! awiya minawa ninnondawa!" ||| And so on the next day he went to look after his fishtraps ; and while he was at work again gathering the fish, he heard something again uttering a sound. And now, as Nanabushu listened again, "M, m, m !" was the sound he heard. Thereupon again more were the fish he fetched. Starting to run again he went, saying to his grandmother: "O my grandmother! something again do I hear."
"Anln anwat, nojis?" i'kitu. ||| " What sort of a noise did it make, my grandson ?" she said.
"Aa," i'kitu rnindimoya ; "piswaguna ko'kokoho udinawabanm kicicanyabanlg. Wlwlsini. Awacam," udinan. ||| " 1M, m, m!' was the sound it made."
Mldec minawa Nanabucu aya'pina'tigu ani'u'da'pinat klngonyan, paginat ka'tani'tank. Mldac minawa weyabaninig minawa natcipindcibonaganat. Minawa magwa mociginat klngonyan, minawa kago ini'tam. Nanabucu kagwanisag kipagisu owa ijipasagipagisu. Mldac minawa nondagusinit awiya inwanit : "Ha-ha-ha-ha-ha-ha!" O, Nanabucu maclclba'tod ! wawlp nawatcipinat uglngon-i!majj. Klwaba'tod inat o'kumisan : "No'kumidide ! awiya nin nondawa, manido !" ||| "Why," said the old woman-, "a fine soft-feathered owl was what your uncles of old called it. It wants to eat. Go feed it," she said to him.
"Wawlp, no'kumis, ujl'tam, klgamadcamin !" udinan. Anlc kaga't rnindimoya naningiwizit. ||| And so again, as Nanabushu with fear went and took some fish, he threw them where he had heard the sound. And then on the following morning again he went to look after his fish-trap. While gathering the fish, again he heard another sound. Nanabushu stood up with a sudden start, and so brought himself to his full stature. And then again he heard the sound of some creature screaming out: "Ha-ha-ha-ha-ha-ha!" Oh, how Nanabushu started running ! speedily more of his fish he fetched. Coming home on the run, he said to his grandmother : "O my grandmother! something do I hear, a manitou!"
Mldac wawlp caylgwa wrirmbomat Nanabucu o'kumisan. Midac anat : " 1AU, kiga'irmbomin," udinan o'kumisan. ||| "How did it sound, my grandson?"
Mldac kaga't. ||| " 'Ha-ha-ha-ha-ha-ha !' was the way it sounded."
Midac ana't ojisan: "Nama'tagumag !" ||| "Why, my grandson, now are we going to die!" she said to her grandson.
"Manu, gagu pabamanima'kan !" ||| "Be quick, my grandmother, get ready, let us be off!" he said to her.
Minawa mindimoya i'kito : "Nojis! ningackipitagan nindoni'kanan." ||| And then truly the old woman trembled (by reason of age and fear).
Midac kaga/t Nanabucu ajapagisut, awinawatinat o'kumisan ugaskipitaganini. Anawi wmigu Nanabucu mlnilk wlnigu kackiwanat ki'irmbiwana, mlclac ima o'kumisan ukitcaya'r kl-a'sat o'kumisan. Midac klmadciba'tod, nagatcinicindang upindcibonaganan. Mlclac Nanabucu madcad, madcinicimut. ||| And so hastily was Nanabushu now going to carry his grandmother upon his back. Thereupon he said to her : "Come, let me carry you upon my back!" he said to her.
Mlnangwana win ka'i'ji'U'na^kunigavvat andaswawanagisiwat mini'kigfu na'ta'a'mwat kPsfonvaii, Midac kra'nonint ||| And so that (was what) truly (happened).
ni'tam kwlngwlci tci'a'wiku'tasumat Nanabucon. ||| And then she said to her grandson : "Oh, my dried fish!"
Panimadac minawa anint pa'kan kl'a'nonawag, kawm uglsagimasiwawan Nanabucon. Midac minawa anint kra/nonintwa. Mldac awa paji'k iskwatc ka'ijat midac awa ||| Again the old woman said: "O my grandson! my tobacco-pouch am I forgetting."
Midac klwa11 ninguting Nanabuco pabimiba'tod, kawln wrka kibisi'kasl ; ningutingdac klwan anipabimiba'tod Nanabucti oganonigon olkumisan : "Nojic, mwlsaga'arm," udigon. ||| Thereupon truly back Nanabushu hurried, as he went and seized his grandmother's tobacco-pouch. Even though Nanabushu put as much as he could carry upon his back, yet there on the top (of his burden) he placed his grand mother. Thereupon he started to run, leaving behind his fish-traps. Now, as Nanabushu started, he began singing.
Nanabuc kaya win i'kito : "Pa'kadiyamn," udinan o'kumisan. ||| It so happened that an agreement had been entered into among the various creatures, as many as there were that used fish for food. Therefore the first one employed to go scare Nanabushu was the Canada jay.
"Migu ima misln," udinan o'kumisan. Amc, mi win kaga't mindimoya ajimizlgubanan ima. Midac minawa a11 mindimoya anat ujicanyan : " Nojis !" udinan, "tc'iga'kwa ani'a')^aba'ton. Niwra-niuda'pinan wfikis!ndima-o*yan,w udigon. ||| Now, his grandmother knew who they were, and for that reason Nanabushu was not frightened at first.
"Kitoskun kisindima/u'n," udinan o'ktimisaii.' ||| Then afterwards some others that were different were employed, but they did not frighten Nanabushu. There upon some others were next employed. And the one that came last was the screech-owl by whom Nanabushu was frightened ; and on account of that one, he left behind his fish-trap. Thereupon all the various little animal folk enjoyed the fruits of the labor (of Nanabushu and his grandmother) by eating the food there.
Midac kaga't au mindimoya ajikisindima-irt odoskun. Midac minawa au mindimoya anat ocisan : "Saga'kwang ani*i'can ; nivvra-nikislya'kwisiton nintoskun," udinan ocicanyan. ||| And now they say that once while Nanabushu was travelling about on the run, never did he come to a halt; and once they say that when he was running along, Nana bushu was addressed by his grandmother saying : " My grandson, I wish to go out," he was told.
Midac minawa Nanabucu anat o'kumisan: "Sobandan," udinan. ||| And Nanabushu in reply said: "Simply lean aside with your buttocks," he said to his grandmother.
Amc, mi win minawa ajisobandank otoskun, mldac au mindimoya anat ocicanyan : "Nojis! nawatc pang! rku'kwanin." ||| "Nay, my grandson," she said to him, "I have need of relief," she said to her grandson.
"Anic?" i'kito Nanabucu. ||| "Then do it there," he said to his grandmother.
"Nlwlskwatciga," i'kito mindimoya. ||| Well, it was so that the old woman relieved herself at the time in that position. And so again the old woman said to her grandson: "O my grandson!" she said to him, "by the edge of the woods do pass along as you run. I wish to get hold of something on the way to wipe myself at the anus," he was told.
Nanabucu i'kito : "Kuntan." ||| "With your elbow wipe your anus," he said to his grandmother.
Midac kaga't mindimoya ka'i'jikuntank usi'kwagan, mldac minawa klnwan Nanabucu anibabimiba'tod anip'u'k : wlnga ||| And it was true that the old woman wiped herself at the anus with her elbow. Thereupon again the old woman said to her grandson: "Into the thick woods do you go; for, as I go I wish to clean my elbow with the limbs," she said to her grandson.
caylgwa a'pidci aiya'kusi, mlgu ka'i'jipimiba'tod kljigatinig ||| Whereupon again Nanabushu said to his grandmother : "Lick it with your tongue," he said to her.
kaya tibi'katinig. Ningudingidacigu anibabimiba'tod Nana- ||| Well, it was the same again, for she licked her elbow with her tongue, whereupon the old woman said to her grandson: "O my grandson! just raise your head a little."
anigakipi'tciba'to ; magwa dac pabimusat, kago uda'ku'ka- ||| "Why?" said Nanabushu.
tanan, tibicko asinPsag. Mldac animanak aji'a'ndotcipitod; ||| "I want to spit," said the old woman.
mldac ajimi'kotclnang, uda'pinang. "No'komis, naska kuca ||| Nanabushu said: "Swallow it."
Mldac mindimoya oda'pinang. "Maskigimin iu," udinan; "unicicinon mltcinaniwang," udinan. A'pidci mamangiminagatiniwan. ||| 59- NANABUSHU FINDS CRANBERRIES AND BIG CHERRIES.
mldec aji'a'ndotcipitcigat, mmangwana minan. Mldac ||| 59- NANABUSHU FINDS CRANBERRIES AND BIG CHERRIES.
aji'O'da'pinang, ajiwabanda'a't o'kumisan, inat : "Wagunan ||| And so truly, after the old woman had swallowed her spittle, then again they say that Nanabushu went running along at the top of his speed ; ever so tired had he now become, for he had been running day and night. And once while Nanabushu was running along, it happened to be in the night, whereupon it is said that he thought : "It is plain that I must now have come a long way," he thought. Slower then he ran ; and while he was walking along, something he then stepped upon, it seemed like pebbles And so, not making out what they were, he felt of them ; and as he felt of them, he took them up. "O my grandmother, do look at these! What are these things?" he said to her.
owa?" udinan o'kumisan wabanda'a't. ||| And then the old woman took them up. "Cranberries these," she said to him. "Good are they to eat," she said to him. Very large were they in size.
"Ou, ki'tci'a'sisawaminan," udinan. "Onicicinon midcigatag," udigon o'kumisan. "Ml caylgwa tci'a'niandawabandaman kadaTndaiyang," udigon. ||| Thereupon again they started, on his way again went Nanabushu walking. As he went along with his head lifted up, something touched him on the face ; and as he felt of them, they turned out to be berries. And as he picked them, he showed them to his grandmother, saying to her: "What are these things?" he said to his grand mother as he showed them to her.
Mldac kaga't Nanabucu kra'nipagitciwananat o'kumisan. Midac kru'cigat Nanabucu magwa nangawi mini'kang, anindi nlbiwa kago ni'tawiging maniwang. Mri'ma krirnabandank tcitawat. Mldac ima ka'a'rndawat. ||| "Why, big cherries," she said to him. "Good are they to eat," he was told by his grandmother. "Soon shall you now look for a place where we are to dwell," he was told.
Ninguding dac klwa11 udigon o'kumisan : "Nojis, kitakri'gwicim kuca. Ml wlnawa ka/rjitcigawat kicicayabanlg," udinan. ||| And then truly did Nanabushu put his grandmother down from off his back. Thereupon did Nanabushu make a camp in among the sand-berries, in where there was an abundance of various kinds of berries growing in the ground. And there he chose a place for them to live. So there was where they continued.
Anlc, nil gaga/t ; Nanabucu kaga't ki'tcra'nigu'k madclba'tod. Mmawa madclba'tod a'konamut minawa pipagit : "No'kumis, ml oma a'pl tcinibayayan !" Caylgwa minawa onontawan : "E'e^ awas nawatc ijan !" ||| AND REVENGES HlMSELF.
Mldac Nanabucu nickadisit. "Anim! Anin a'kitut lasau? Ningakiwa," inandam. Ki'tci anigu'k rnadcat. Mldac ||| AND REVENGES HlMSELF.
Mldac ani'a'yat owabandan wasa^kwanamagatinig wlgiwam. ||| Now, once they say that he was told by his grand mother : "My grandson, you should indeed go into a fast. That was what your uncles of old used to do," she said to him.
"Wagunan wandciwasa'kunawat ?" Mldac kaga't kimotc 1 5 ajinanzitkang andawat. Mldac ajita'pabandank, anln kadi- ||| Thereupon she was asked: "How, indeed, shall I do it, my grandmother?"
cinawat o^umisan ! Owabaman magwa aminit o'kumisan. ||| "You shall go away, my grandson, and you shall not eat food," he was told by his grandmother. "And when you wish to sleep, my grandson, call for me," he was told. "And if I think you have gone far enough, then will I tell you to sleep there," she said to him. "It is only by such means that you can know how you are to live in the future," he was told by his grandmother.
Mldac ka'i'ci'u'da'pinang miltigons paya'tanig kanwa^wa- ||| It was true that Nanabushu on the morrow ate the charcoal that had been given him by his grandmother ; it was true that Nanabushu ate (it), and he blackened his face a little.
tinig kaya, mldac ka'ijiba'kindanag pangi. Mldac ka'iji- ||| Now, that was what in olden times the people used to do when they fasted.
sa'kisitod ickudank iu mi'tig, midac ka/ijipiskanag ; midac ka'iji-a'gwunang omicomisan udiyaning. ||| Thereupon they say that Nanabushu started out in the morning. "With all your speed go, (and) look not back," he was told by his grandmother. And so Nanabushu went with all his speed. All day long he went walking about, and now and then he was running. Thereupon in the evening he was very tired and hungry. Again he walked till it was growing thoroughly dark ; he did not see whither he was going. And then at last he cried aloud: "Hey-yo, my grandmother! in this very place will I sleep !" After a while he heard the voice of his grand mother answering in reply : " Hey there ! farther yet do you go !"
Midac kai jisa'kisut au alkiwanzi ; mldac Nanabucu ka'iji'kasut ingutci ; midac nanaga pimisagltciba'tod a11 a'kiwa11]!. Miclac Nanabucu ka-ijinosawabamat anra-'paltonit ka'a-niwasa'kunanitigu. Wrkadac Nanabucu ki'klwa ||| Well, that (was what) truly (happened); Nanabushu truly began running at the very top of his speed. Again he began running as far as his wind could hold out, when again he called aloud: "My grandmother, in this very place will I sleep !" This time again he heard her (say) : "Hey there! farther yet do you go!"
andawat. Midac nayagin aniganonat o'kumisan : "No'komis, nintagwicin." ||| Thereupon Nanabushu again began running with all his speed just as far as his wind would let him ; very tired he became. And so again came his voice calling aloud: "Shall I sleep in the place right here?" he (thus) said to his grandmother. A long while afterwards he was ad dressed in the words: "Hey there! farther on shall you go!"
"Ou, nojis," udigon. Awidac mindimoya anawigu ogi'kikaniman ojisan ka'ijictciganit, kawlndac kago krr'kitusl. Kaya iwa a'pl kisa'kawat, kri-'kitu au mindimoya: "Nya, ogagwanisagi'a'n lnix omicomisan !" krr'kitu. ||| Thereupon Nanabushu became angry. " Wretch (that she is)! What is she saying? I am going back," he (thus) thought. At the very top of his speed he started. And so in a little while he suddenly became aware that close home was he arriving. Upon which as he drew near he saw that the wigwam was all lighted up inside. And then, thought Nanabushu: "I will peep at her on the sly," he thought. "Why is she making such a light?" And so truly on the sly did he approach where they lived. Thereupon he peeped in,, and whom did he see but his grandmother ! He beheld his grandmother in the act' of receiving amorous pleasure. Thereupon, after he had picked up a small stick that was dry and long, he then gently lifted the flap of the doorway. And so after he had lighted the stick in the fire, it flamed up into a blaze; whereupon he placed it against the buttocks of his grand father.
Midac kiplndigat Nanabucu, kawln dac po'tc kra'camasln ||| Thereupon was the old man set on fire ; upon which Nanabushu concealed himself in a certain place ; and after a while out came the poor old man on the run. And so Nanabushu fixed his gaze upon him to see in what direction he was running as he went in flames. And after
Nanabucu. Midac cigu ka'i'cikawicimut, mldac ka'i'nan- ||| a while Nanabushu returned home. And then, while out side but on the way in, he spoke to his grandmother, saying: "My grandmother, I have come back home."
Midac kaga't Nanabucu. ||| "So I see, my grandson," he was told. And though the old woman knew what her grandson had done, yet nothing did she say. And at the time when he burned (the old man), then said the old woman: "Pshaw, he played such a mean trick upon his grandfather!" she said.
"Paba/a'ntuklwusan," udinan. Udigon o'kurnisan : "Iwiti ina'kakaya, kagux win iwiti ija'kan," udinan. ||| And now inside went Nanabushu, but nothing what soever was Nanabushu given to eat. So then straight to bed he went, and this was what he thought: "Perhaps in the morning she will then feed me," thought Nana bushu. But in the morning he was told: "My grandson, not to-day will I feed you. Longer yet shall you fast," she said to him.
Iwiti na'patc inaka'kaya udininamagon tci'i'cat. ||| And that truly (was what) Nanabushu (did).
"Aye8," udinan o'kumisan. Midac kaga't Nanabucu ajimadcat ka-i'ninamagut o'kumisan. Midac anat : "No'kumis ! kawin ningatagwijinzl unagucik kicpin kago ni'tosiwan," udinan. "Kagu kwlnawlbi'i'ci'kan." Midac kaga't madcat Nanabucu. Kuma'pidac aniyapimicka ani'i'cat ina'ka'kaya ka'a-ni-i-jiwasa'kunanigiban. Midac anibabi- ||| "Go forth and hunt for game," she said to him. He was told by his grandmother: "Over in that direction yonder, don't you go over there," she said to him.
musat, Nanabucu owabandan wigiwamans pada'kitanig ; undaba'tani. Midac anicta'pabit owabaman cingicininit omicomisan. Winga klpansowan ublwayani pi'kwananing ka/rna'kiswadin. Mldac anicikanonat : " Nimicomis," udinan ; "Kibimawatisin." ||| It was in that direction that Nanabushu saw him go in flames as he went running out of the camp at the time. "Wretch!" thought Nanabushu. "In spite of (what I was told), I will go there."
Mldac ka'ga't plndigat Nanabucu. ||| Over in the opposite direction was he shown by the pointing of her finger where he was to go.
